RU1	%
RU999	путешествия,
RU1000	родители
RU1001	ведут
RU1002	их
RU1003	к
RU1004	воде.
RU1005	А
RU1006	для
RU1007	песцов
RU1008	время
RU1009	изобилия
RU1010	закончилось,
RU1011	но
RU1012	мать
RU1013	сделала
RU1014	всё
RU1015	возможное,
RU1016	чтобы
RU1017	обеспечить
RU1018	своим
RU1019	детёнышам
RU1020	преимущество
RU1021	в
RU1022	дальнейшей
RU1023	жизни.
RU1024	Гуси
RU1025	будут
RU1026	кормиться
RU1027	в
RU1028	тундре
RU1029	до
RU1030	конца
RU1031	лета,
RU1032	на
RU1033	зиму
RU1034	улетят
RU1035	на
RU1036	юг.
RU1037	Но
RU1038	теперь
RU1039	они
RU1040	в
RU1041	основном
RU1042	на
RU1043	воде.
RU1044	На
RU1045	этих
RU1046	широтах
RU1047	солнце
RU1048	светит
RU1049	слабо,
RU1050	и
RU1051	трава
RU1052	может
RU1053	расти
RU1054	лишь
RU1055	несколько
RU1056	месяцев
RU1057	в
RU1058	году.
RU1059	Южнее
RU1060	лето
RU1061	длится
RU1062	дольше,
RU1063	и
RU1064	травы
RU1065	буйно
RU1066	разрастаются.
RU1067	Другое
RU1068	травянистое
RU1069	сообщество
RU1070	-
RU1071	прерии
RU1072	северной
RU1073	Америки.
RU1074	Эти
RU1075	богатые
RU1076	пастбища
RU1077	когда-то
RU1078	кормили
RU1079	самые
RU1080	многочисленные
RU1081	стада
RU1082	на
RU1083	планете.
RU1084	До
RU1085	открытия
RU1086	Америки
RU1087	Колумбом
RU1088	в
RU1089	этих
RU1090	прериях
RU1091	обитало
RU1092	60
RU1093	миллионов
RU1094	бизонов,
RU1095	Но
RU1096	ни
RU1097	одно
RU1098	животное
RU1099	не
RU1100	способно
RU1101	противостоять
RU1102	интенсивной
RU1103	охоте
RU1104	или
RU1105	разрушению
RU1106	среды
RU1107	обитания.
RU1108	И
RU1109	сто
RU1110	лет
RU1111	назад
RU1112	численность
RU1113	бизонов
RU1114	сократилась
RU1115	до
RU1116	критического
RU1117	уровня.
RU1118	Осталась
RU1119	всего
RU1120	одна
RU1121	тысяча
RU1122	особей.
RU1123	сегодня,
RU1124	благодаря
RU1125	строгим
RU1126	охранным
RU1127	мерам,
RU1128	численность
RU1129	этого
RU1130	вида
RU1131	постепенно
RU1132	восстанавливается.
RU1133	Утравы
RU1134	долгий
RU1135	вегетационный
RU1136	период,
RU1137	поэтому
RU1138	она
RU1139	обеспечивает
RU1140	стада
RU1141	пищей
RU1142	круглый
RU1143	год.
RU1144	Вес
RU1145	самца
RU1146	бизона
RU1147	достигаеттонны.
RU1148	В
RU1149	разгар
RU1150	лета
RU1151	самцы
RU1152	тучнеют
RU1153	на
RU1154	богатых
RU1155	пастбищах,
RU1156	и
RU1157	находятся
RU1158	в
RU1159	хорошей
RU1160	форме,
RU1161	но
RU1162	продолжить
RU1163	свой
RU1164	род
RU1165	удастся
RU1166	лишь
RU1167	немногим.
RU1168	И
RU1169	вскоре
RU1170	должно
RU1171	решиться,
RU1172	кому.
RU1173	На
RU1174	равнинах
RU1175	умеренного
RU1176	пояса
RU1177	лето
RU1178	-
RU1179	это
RU1180	время
RU1181	роста
RU1182	и
RU1183	размножения.
RU1184	Травы
RU1185	начинают
RU1186	цвести.
RU1187	Воттак
RU1188	цветут
RU1189	злаки.
RU1190	А
RU1191	рядом
RU1192	цветёт
RU1193	разнотравье.
RU1194	Равнины
RU1195	расцвечиваются
RU1196	новыми
RU1197	красками.
RU1198	Цветение
RU1199	разнотравий
RU1200	происходит
RU1201	и
RU1202	в
RU1203	северном,
RU1204	и
RU1205	в
RU1206	южном
RU1207	полушарии,
RU1208	но
RU1209	нигде
RU1210	оно
RU1211	не
RU1212	бываеттаким
RU1213	ярким,
RU1214	как
RU1215	в
RU1216	дельтах
RU1217	Южной
RU1218	Африки.
RU1219	А
RU1220	в
RU1221	этих
RU1222	дельтах
RU1223	-
RU1224	обилие
RU1225	корма
RU1226	и
RU1227	для
RU1228	антилоп,
RU1229	и
RU1230	для
RU1231	страусов.
RU1232	Разнотравье
RU1233	здесь
RU1234	преобладает
RU1235	над
RU1236	злаками.
RU1237	Но
RU1238	не
RU1239	все
RU1240	равнины
RU1241	умеренного
RU1242	пояса
RU1243	бывают
RU1244	летом
RU1245	такими
RU1246	богатыми
RU1247	и
RU1248	пёстрыми.
RU1249	Воттак
RU1250	выглядит
RU1251	летом
RU1252	тибетское
RU1253	нагорье
RU1254	-
RU1255	самая
RU1256	высокогорная
RU1257	равнина
RU1258	в
RU1259	мире.
RU1260	Несмотря
RU1261	на
RU1262	суровые
RU1263	условия,
RU1264	трава
RU1265	растёт
RU1266	здесь
RU1267	в
RU1268	достаточном
RU1269	количестве
RU1270	для
RU1271	прокорма
RU1272	животных,
RU1273	обитающих
RU1274	выше
RU1275	всехтравоядных
RU1276	на
RU1277	земле,
RU1278	для
RU1279	диких
RU1280	яков.
RU1281	Даже
RU1282	летом
RU1283	жить
RU1284	здесь
RU1285	трудно.
RU1286	Температура
RU1287	редко
RU1288	поднимается
RU1289	выше
RU1290	нуля,
RU1291	а
RU1292	воздух
RU1293	разрежен.
RU1294	Ктому
RU1295	же
RU1296	воздух
RU1297	очень
RU1298	сухой
RU1299	по
RU1300	одной
RU1301	очень
RU1302	существенной
RU1303	причине.
RU1304	Гималаи.
RU1305	Высокогорье
RU1306	Гималаев
RU1307	-
RU1308	это
RU1309	огромная
RU1310	горная
RU1311	система,
RU1312	она
RU1313	действует
RU1314	как
RU1315	барьер,
RU1316	задерживающий
RU1317	облака,
RU1318	идущие
RU1319	с
RU1320	юга.
RU1321	Гималаи
RU1322	отбрасывают
RU1323	гигантскую,
RU1324	так
RU1325	называемую
RU1326	дождевую
RU1327	тень,
RU1328	которая
RU1329	лишает
RU1330	Тибет
RU1331	каких-либо
RU1332	дождей.
RU1333	Но
RU1334	трава
RU1335	цепляется
RU1336	за
RU1337	жизнь,
RU1338	даже
RU1339	когда
RU1340	иссушающие
RU1341	ветры
RU1342	забирают
RU1343	из
RU1344	почвы
RU1345	остатки
RU1346	влаги.
RU1347	Пока
RU1348	жива
RU1349	трава,
RU1350	живы
RU1351	и
RU1352	травоядные.
RU1353	Куланы.
RU1354	Жеребцы
RU1355	дерутся
RU1356	за
RU1357	территорию.
RU1358	Обладатели
RU1359	лучших
RU1360	участков
RU1361	более
RU1362	предпочтительны
RU1363	для
RU1364	кобылиц.
RU1365	Побеждают
RU1366	самые
RU1367	резвые
RU1368	и
RU1369	самые
RU1370	сильные.
RU1371	Победа
RU1372	защитана,
RU1373	но
RU1374	на
RU1375	появление
RU1376	самок
RU1377	рассчитывать
RU1378	пока
RU1379	не
RU1380	приходится.
RU1381	самки
RU1382	куланов
RU1383	-
RU1384	загадочные
RU1385	существа.
RU1386	Они
RU1387	приходят
RU1388	и
RU1389	уходят,
RU1390	когда
RU1391	захотят,
RU1392	и
RU1393	непосвящённым
RU1394	их
RU1395	поведение
RU1396	может
RU1397	показаться
RU1398	непонятным,
RU1399	даже
RU1400	непостижимым.
RU1401	Кобылицы
RU1402	постоянно
RU1403	кочуют
RU1404	по
RU1405	нагорью,
RU1406	и
RU1407	нередко
RU1408	в
RU1409	поисках
RU1410	оазисов
RU1411	проходят
RU1412	по
RU1413	этим
RU1414	безжизненным
RU1415	равнинам
RU1416	огромные
RU1417	расстояния.
RU1418	Однако,
RU1419	найдя
RU1420	такой
RU1421	райский
RU1422	уголок,
RU1423	они
RU1424	задерживаются
RU1425	в
RU1426	нём
RU1427	всего
RU1428	на
RU1429	несколько
RU1430	часов,
RU1431	чтобы
RU1432	утолить
RU1433	голод
RU1434	и
RU1435	жажду,
RU1436	затем
RU1437	вновь
RU1438	отправляются
RU1439	на
RU1440	пыльные
RU1441	просторы
RU1442	без
RU1443	видимой
RU1444	причины.
RU1445	Куланы
RU1446	-
RU1447	самые
RU1448	заметные
RU1449	обитатели
RU1450	этих
RU1451	высокогорных
RU1452	равнин.
RU1453	Но
RU1454	самые
RU1455	многочисленные
RU1456	травоядные
RU1457	Тибета
RU1458	обитают
RU1459	в
RU1460	основном
RU1461	под
RU1462	землёй.
RU1463	Пищуха.
RU1464	Это
RU1465	-
RU1466	дальний
RU1467	родич
RU1468	зайца
RU1469	и
RU1470	кролика.
RU1471	Пищуха
RU1472	тоже
RU1473	питается
RU1474	травой.
RU1475	На
RU1476	открытом
RU1477	плато
RU1478	пищухи
RU1479	никогда
RU1480	не
RU1481	удаляются
RU1482	от
RU1483	своих
RU1484	нор.
RU1485	Но
RU1486	всё
RU1487	равно,
RU1488	при
RU1489	малейшей
RU1490	возможности
RU1491	чужаки
RU1492	готовы
RU1493	захватить
RU1494	их
RU1495	жилище.
RU1496	Птицы
RU1497	каменки
RU1498	очень
RU1499	любят
RU1500	гнездиться
RU1501	в
RU1502	норах
RU1503	пищух.
RU1504	Мелкие
RU1505	воробьиные,
RU1506	гнездящиеся
RU1507	в
RU1508	норах,
RU1509	создают
RU1510	неудобство,
RU1511	но
RU1512	их
RU1513	стоит
RU1514	и
RU1515	потерпеть,
RU1516	ведь
RU1517	птицы
RU1518	служат
RU1519	надёжной
RU1520	системой
RU1521	раннего
RU1522	предупреждения.
RU1523	Тибетская
RU1524	лисица
RU1525	-
RU1526	злейший
RU1527	враг
RU1528	пищух.
RU1529	Подстерегая
RU1530	добычу,
RU1531	лисица
RU1532	держится
